BeerID,Style,OG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,BrewMethod
61507,American IPA,1.064,6.54,79.54,7.98,90,1.047,65.0,All Grain
61515,American Pale Ale,1.05,5.39,29.33,11.14,60,1.0390000000000001,70.0,All Grain
61516,American IPA,1.064,6.35,115.29,5.1,60,1.0590000000000002,60.0,BIAB
61522,American IPA,1.064,6.5,58.36,4.17,30,1.0590000000000002,35.0,extract
61531,American IPA,1.069,6.91,58.14,9.9,90,1.051,80.0,All Grain
61533,American Pale Ale,1.0490000000000002,5.01,64.8,5.06,60,1.045,70.0,All Grain
61535,American IPA,1.04,4.38,44.0,4.63,60,1.034,70.0,All Grain
61536,American IPA,1.06,6.0,50.65,4.96,60,1.045,63.0,All Grain
61537,American Pale Ale,1.057,5.91,59.79,4.71,60,1.104,35.0,extract
61542,American IPA,1.061,6.26,37.38,8.15,60,1.036,75.0,All Grain
61545,American IPA,1.023,2.37,30.97,7.35,60,1.02,35.0,All Grain
61546,American IPA,1.063,6.56,54.77,6.89,60,1.09,25.0,Partial Mash
61550,American Pale Ale,1.05,5.35,41.05,5.23,60,1.0390000000000001,75.0,All Grain
61551,American Pale Ale,1.05,5.43,44.4,7.9,30,1.044,76.0,All Grain
61552,American Pale Ale,1.056,5.57,54.78,7.03,60,1.043,72.0,All Grain
61556,American IPA,1.0659999999999998,7.23,88.43,6.2,60,1.048,75.0,All Grain
61558,American IPA,1.063,6.37,80.28,8.24,60,1.046,72.0,All Grain
61562,American IPA,1.047,4.96,17.82,3.89,90,1.043,84.0,All Grain
61564,American IPA,1.058,5.69,69.51,6.1,60,1.046,70.0,BIAB
61568,American Pale Ale,1.052,5.51,38.18,3.59,60,1.0390000000000001,70.0,BIAB
61569,American Pale Ale,1.057,6.07,40.75,8.81,60,1.045,65.0,BIAB
61575,American Pale Ale,1.05,5.18,36.26,8.3,60,1.028,75.0,All Grain
61577,American IPA,1.078,8.03,67.67,4.57,60,1.068,85.0,All Grain
61585,American IPA,1.069,6.69,79.24,10.88,60,1.051,75.0,All Grain
61586,American Pale Ale,1.0490000000000002,5.17,50.68,3.63,60,1.044,77.0,BIAB
61596,American IPA,1.0759999999999998,8.25,202.69,5.66,90,1.065,85.0,All Grain
61604,American IPA,1.057,5.68,58.42,5.36,60,1.043,72.0,All Grain
61606,American IPA,1.063,6.28,53.0,5.81,60,1.054,70.0,All Grain
61607,American IPA,1.072,7.44,120.81,6.43,60,1.061,75.0,All Grain
61610,American IPA,1.051,5.15,93.12,5.52,60,1.041,60.0,All Grain
61616,American Pale Ale,1.045,4.77,45.33,7.04,30,1.0490000000000002,59.0,BIAB
61617,American IPA,1.067,6.68,58.16,11.09,60,1.055,70.0,All Grain
61623,American Pale Ale,1.051,5.39,27.05,12.19,80,1.034,65.0,All Grain
61624,American Pale Ale,1.053,5.3,79.74,4.3,60,1.038,63.3,All Grain
61627,American Pale Ale,1.0490000000000002,5.34,41.36,8.2,60,1.041,80.0,All Grain
61629,American IPA,1.063,6.2,0.0,6.38,60,1.052,75.0,All Grain
61633,American Pale Ale,1.054,5.22,33.9,5.92,60,1.046,75.0,All Grain
61634,American Pale Ale,1.07,6.99,81.11,6.48,90,1.046,70.0,All Grain
61641,American Pale Ale,1.051,5.38,38.77,6.37,60,1.046,70.0,All Grain
61644,American IPA,1.06,6.49,57.89,9.88,60,1.051,85.0,All Grain
61645,American IPA,1.062,6.62,68.71,6.85,60,1.052,60.0,extract
